transaction_id,account_name,date,amount,merchant,description,category,status
9001,Savings,2025-08-15,12.45,Starbucks Downtown,Premium coffee and pastry,Food & Dining,approved
9002,Checking,2025-09-02,8.95,Starbuks Main St,Morning coffe latte,Food & Dining,approved
9003,Checking,2025-09-05,6.5,Local Cafe Corner,Artisan espresso drink,Food & Dining,approved
9004,Checking,2025-10-01,9.25,Bean There Coffee,Cappuccino and muffin,Food & Dining,approved
9005,Savings,2025-09-29,4.75,Coffee Shop Express,Iced coffee regular,Food & Dining,approved
9006,Savings,2025-09-11,7.8,Morning Brew Co,Hot beverage and snack,Food & Dining,approved
9007,Checking,2025-09-06,11.3,Cafe Mocha Place,Specialty coffee blend,Food & Dining,approved
9008,Checking,2025-07-30,5.95,Daily Grind Cofee,Caffeine fix latte,Food & Dining,approved
9009,Credit Card,2025-08-04,89.47,Whole Foods Market,Organic grocery shopping,Food & Dining,approved
9010,Savings,2025-09-21,76.82,Whoel Foods,Weekly grocery run,Food & Dining,approved
9011,Checking,2025-09-14,45.67,Fresh Market Co,Produce and essentials,Food & Dining,approved
9012,Credit Card,2025-09-28,112.34,Safeway Supermarket,Food and household items,Food & Dining,approved
9013,Savings,2025-08-01,67.89,Trader Joes,Specialty food shopping,Food & Dining,approved
9014,Savings,2025-07-18,34.56,Local Farmers Market,Fresh vegetables and fruit,Food & Dining,approved
9015,Savings,2025-09-14,156.78,Costco Wholesale,Bulk food purchase,Food & Dining,approved
9016,Savings,2025-09-27,78.9,Target Groceries,Weekly food supplies,Food & Dining,approved
9017,Credit Card,2025-10-01,45.6,Uber Technologies,Rideshare to airport,Transportation,approved
9018,Savings,2025-09-09,23.4,Uberr Tech,Ride to downtown,Transportation,approved
9019,Credit Card,2025-08-14,18.75,Lyft Inc,Quick ride home,Transportation,approved
9020,Credit Card,2025-07-26,32.1,Yellow Cab Co,Taxi service fare,Transportation,approved
9021,Credit Card,2025-07-17,12.5,City Metro Transit,Public transportation,Transportation,approved
9022,Savings,2025-08-15,28.0,Airport Shuttle,Travel to terminal,Transportation,approved
9023,Savings,2025-07-19,8.0,Parking Meter,Downtown parking fee,Transportation,approved
9024,Checking,2025-09-16,67.45,Gas Station Shell,Vehicle fuel purchase,Transportation,approved
9025,Credit Card,2025-08-11,15.99,Netflix Streaming,Monthly video subscription,Entertainment,approved
9026,Savings,2025-08-28,15.99,Netflx,Monthly streaming service,Entertainment,approved
9027,Credit Card,2025-09-22,9.99,Spotify Premium,Music subscription monthly,Entertainment,approved
9028,Savings,2025-07-27,9.99,Spotfy Premium,Music streaming plan,Entertainment,approved
