date,amount,merchant,category,notes,status,account_id
2024-12-01 09:15:00,45.67,Whole Foods Market,Groceries,Weekly grocery shopping,pending,1
2024-12-01 14:30:00,12.50,Starbucks Coffee,Dining,Morning coffee,pending,1
2024-12-01 18:45:00,85.00,Shell Gas Station,Transportation,Fill up tank,pending,1
2024-12-02 08:20:00,350.00,Best Buy Electronics,Electronics,New laptop charger,pending,1
2024-12-02 11:10:00,25.75,McDonald's,Dining,Lunch break,pending,1
2024-12-02 16:00:00,1250.00,Delta Airlines,Travel,Flight to NYC,pending,1
2024-12-03 10:30:00,67.89,Target,Shopping,Household items,pending,1
2024-12-03 13:45:00,15.99,Netflix,Entertainment,Monthly subscription,pending,1
2024-12-03 19:20:00,89.50,Olive Garden,Dining,Dinner with family,pending,1
2024-12-04 07:15:00,4.50,Dunkin' Donuts,Dining,Morning coffee,pending,1
2024-12-04 12:00:00,156.78,Costco Wholesale,Groceries,Bulk shopping,pending,1
2024-12-04 17:30:00,45.00,Exxon Mobil,Transportation,Gas station,pending,1
2024-12-05 09:45:00,235.67,Home Depot,Home Improvement,Garden supplies,pending,1
2024-12-05 14:20:00,78.90,Barnes & Noble,Books,Programming books,pending,1
2024-12-05 20:10:00,125.00,AMC Theatres,Entertainment,Movie night,pending,1
2024-12-06 08:00:00,567.89,Apple Store,Electronics,iPhone repair,pending,1
2024-12-06 11:30:00,34.56,Chipotle Mexican Grill,Dining,Lunch,pending,1
2024-12-06 15:45:00,89.00,CVS Pharmacy,Healthcare,Prescription refill,pending,1
2024-12-07 10:15:00,299.99,Amazon.com,Shopping,Office chair,pending,1
2024-12-07 13:30:00,18.75,Subway,Dining,Quick lunch,pending,1
2024-12-07 19:00:00,145.60,Hilton Hotels,Travel,Hotel stay,pending,1
2024-12-08 09:30:00,75.45,Walmart,Groceries,Weekly shopping,pending,1
2024-12-08 12:45:00,9.99,Spotify,Entertainment,Music streaming,pending,1
2024-12-08 16:20:00,189.00,Nike Store,Clothing,Running shoes,pending,1
2024-12-09 08:45:00,456.78,Microsoft Store,Software,Office license,pending,1
2024-12-09 14:10:00,27.89,Panera Bread,Dining,Afternoon snack,pending,1
2024-12-09 18:30:00,345.67,Macy's,Clothing,Winter jacket,pending,1
2024-12-10 07:20:00,5.25,7-Eleven,Convenience,Morning snack,pending,1
2024-12-10 11:00:00,198.50,Petco,Pet Supplies,Dog food and toys,pending,1
2024-12-10 15:15:00,67.80,Uber,Transportation,Ride to airport,pending,1
2024-12-11 09:00:00,89.99,GameStop,Entertainment,Video game,pending,1
2024-12-11 13:25:00,23.45,Taco Bell,Dining,Quick lunch,pending,1
2024-12-11 17:40:00,156.78,Best Western,Travel,Hotel booking,pending,1
2024-12-12 08:30:00,45.67,Kroger,Groceries,Fresh produce,pending,1
2024-12-12 12:15:00,789.00,Dell Technologies,Electronics,Monitor upgrade,pending,1
2024-12-12 16:50:00,34.89,Pizza Hut,Dining,Family dinner,pending,1
2024-12-13 10:45:00,123.45,REI Co-op,Outdoor,Hiking gear,pending,1
2024-12-13 14:30:00,56.78,Starbucks Coffee,Dining,Afternoon coffee,pending,1
2024-12-13 19:15:00,267.89,Nordstrom,Clothing,Business attire,pending,1
2024-12-14 09:20:00,78.90,Home Depot,Home Improvement,Light fixtures,pending,1
2024-12-14 13:00:00,12.99,McDonald's,Dining,Happy meal for kid,pending,1
2024-12-14 17:25:00,345.00,United Airlines,Travel,Flight change fee,pending,1
2024-12-15 08:10:00,89.50,Whole Foods Market,Groceries,Organic products,pending,1
2024-12-15 12:40:00,156.78,Gap,Clothing,Casual wear,pending,1
2024-12-15 16:00:00,45.67,Shell Gas Station,Transportation,Weekend fill-up,pending,1
2024-12-16 11:30:00,234.56,Lowe's,Home Improvement,Bathroom renovation,pending,1
2024-12-16 15:45:00,67.89,Cheesecake Factory,Dining,Special dinner,pending,1
2024-12-16 20:00:00,789.00,Samsung Store,Electronics,Smart TV,pending,1
2024-12-17 09:15:00,45.67,Trader Joe's,Groceries,Specialty items,pending,1
2024-12-17 13:30:00,123.45,Bed Bath & Beyond,Home,Kitchen appliances,pending,1
2024-12-17 18:20:00,56.78,Olive Garden,Dining,Date night,pending,1
2024-12-18 08:50:00,345.67,Sony Store,Electronics,Headphones,pending,1
2024-12-18 12:25:00,78.90,Wendy's,Dining,Lunch combo,pending,1
2024-12-18 16:40:00,189.00,JCPenney,Clothing,Holiday shopping,pending,1
2024-12-19 10:00:00,567.89,HP Store,Electronics,Printer upgrade,pending,1
2024-12-19 14:15:00,34.56,Burger King,Dining,Quick bite,pending,1
2024-12-19 19:30:00,245.67,Marriott,Travel,Weekend getaway,pending,1
2024-12-20 09:40:00,89.50,Safeway,Groceries,Holiday baking,pending,1
2024-12-20 13:55:00,156.78,Victoria's Secret,Clothing,Gift shopping,pending,1
2024-12-20 17:10:00,67.89,Arby's,Dining,Dinner on the go,pending,1
